grid_id,n,pd,mpd,raoq,fd,fdr,type
33500,28,2679.6857278316,322.8922327870455,21.64722151598358,60.400089598437646,1.6604849709976428,mean
33501,30,2816.777192031664,318.03867786029485,21.73465374353288,77.59302050557702,1.713956889658548,mean
33502,31,2960.887652991344,332.974256089162,22.222486038397737,90.33637889519626,1.7494416991314392,mean
33503,31,2967.537525631344,331.3202534115706,21.865938205530977,84.05107730442572,1.7348000865214546,mean
33504,30,2905.884389321408,327.44601960340424,21.36731656675575,72.77095741187453,1.7018626293276748,mean
33505,28,2790.447968811216,341.0398436609863,21.8599097224249,59.08173752486835,1.6527924847108568,mean
33506,27,2755.5541918016,347.4552659421128,19.67517058720764,35.00767946196881,1.5521974994327887,mean
33507,26,2689.852406081472,353.944431653344,20.28151229411617,32.95992283286042,1.5408078809494514,mean
33508,26,2672.048340441472,349.4139945313132,19.948295592407007,32.66080324057217,1.536661791061661,mean
33509,26,2713.968562302732,364.7351810263025,20.47326593877664,35.01628945719155,1.5527992771427208,mean
33510,26,2677.858142121472,362.7229232169748,19.89112081605338,30.574437666456706,1.526314043914539,mean
33511,24,2588.140565401792,347.9307132671783,21.045813541505527,29.420535873128113,1.5163205724654751,mean
33512,25,2675.500605921728,344.96440699467155,20.509257012725897,31.886187414189223,1.5332010075106457,mean
33513,25,2682.51762648192,354.6121932797536,20.70930091627976,33.634392806362115,1.5468405224512383,mean
33514,26,2700.525329563112,351.41660350356244,20.46357957947822,36.640776954969375,1.5594716860265851,mean
33515,27,2791.072054863328,339.49747446303854,19.91139796575645,38.46790502746987,1.5706226744380116,mean
33516,28,2878.955245222624,339.10942922278,21.122867776387093,50.52535152965321,1.6224340306408878,mean
33517,28,2880.489053563712,340.03456094883654,20.548883048308866,46.978210793878716,1.6055937313038757,mean
33518,27,2781.12399428352,335.0149200591781,20.958855311500283,45.08377038159567,1.5979049602749402,mean
33519,28,2890.2376946626882,339.3152152385518,21.21724637797541,51.93051706978916,1.6254159784916906,mean
33520,29,2887.383444443264,336.3897137428852,21.017580303417216,55.2609013977572,1.640879600792356,mean
33521,29,2857.306045083136,354.93358067558574,21.15329544012625,52.895106453671644,1.6311150807842827,mean
33522,29,2881.999845643264,344.04248946928914,21.649926412870908,61.73073366648403,1.662374228008969,mean
33523,30,2913.000124463328,342.8150285387046,22.221162635690952,82.14109398972897,1.722712217614016,mean
33524,32,3150.081432162944,336.916117772684,21.837192411200512,100.10632964006166,1.7676709397398676,mean
33525,36,3433.134804024716,323.79317881315086,22.479607599092425,151.4609561690901,1.8612119394034463,mean
33531,40,3658.0184059216,326.8755526446954,22.78062152712793,210.52436316090794,1.9382647600660365,mean
33532,36,3362.214522823656,331.4123688519174,22.141282841494444,126.79514802726325,1.8255984750692422,mean
33533,36,3329.516989683288,334.32434253332553,21.829675098644376,120.18464037675331,1.8086549652842727,mean
33534,34,3254.756159382916,337.3298930234514,22.644114108863622,123.53896882751731,1.817703863116925,mean
