grid_id,n,metrics,value
22342,4,pd,259.86756299999996
13099,1,pd,0
19970,5,pd,345.257282
9867,1,pd,0
20824,14,pd,490.20283
35539,14,pd,558.574792
43882,6,pd,413.764497
58716,16,pd,649.952548
51557,3,pd,352.997894
19547,15,pd,481.764817
39142,15,pd,558.481857
27493,12,pd,595.734302
43466,8,pd,510.193446
21078,2,pd,253.645516
21968,11,pd,499.109235
27122,36,pd,689.620007
52952,3,pd,234.01068600000002
18702,9,pd,431.444804
40753,6,pd,461.187925
59145,12,pd,525.586961
17843,9,pd,435.120781
31742,10,pd,525.3590379999999
11734,4,pd,293.821038
11204,1,pd,0
22354,3,pd,258.07604699999996
28306,7,pd,565.7617789999999
8167,1,pd,0
54576,4,pd,249.545339
53928,4,pd,351.739427
56398,2,pd,198.704756
12778,11,pd,506.37303000000003
24728,19,pd,1155.921687
30115,12,pd,568.286641
36923,9,pd,494.09687099999996
40881,10,pd,525.83194
10425,1,pd,0
48361,5,pd,694.099828
16230,22,pd,1146.082895
44746,4,pd,364.07652
22803,2,pd,253.645516
14777,4,pd,293.821038
40853,8,pd,511.895747
14326,5,pd,335.516616
20984,23,pd,1179.445955
42141,7,pd,506.66885199999996
14592,3,pd,292.44309499999997
41283,8,pd,511.895747
30997,14,pd,652.8213979999999
53382,3,pd,234.01068600000002
53372,3,pd,234.01068600000002
23106,42,pd,1431.729562
24459,10,pd,441.4517
31449,35,pd,1063.678374
55552,5,pd,249.071269
52418,3,pd,352.997894
26024,21,pd,1136.2445169999999
22806,4,pd,671.971865
27060,10,pd,595.854069
19753,2,pd,253.645516
20186,3,pd,258.681996
30548,15,pd,675.0755859999999
62342,1,pd,0
27487,12,pd,595.734302
21451,3,pd,257.079407
32639,7,pd,506.668853
14788,4,pd,327.459517
27123,38,pd,789.731605
23862,15,pd,1091.7189839999999
21099,7,pd,129.501462
42577,6,pd,421.382109
9482,1,pd,0
39019,7,pd,473.968852
11468,15,pd,461.36047
36931,8,pd,491.66538499999996
14164,3,pd,292.44309499999997
54669,3,pd,234.01068600000002
24120,10,pd,827.473485
43033,9,pd,528.471424
15829,2,pd,253.645516
32932,32,pd,835.221922
18243,6,pd,364.573938
12593,6,pd,374.314195
11487,3,pd,288.661938
11949,7,pd,391.049577
15867,3,pd,118.40757800000002
12833,6,pd,390.013961
24538,11,pd,820.42346
10302,1,pd,0
54572,5,pd,399.997764
12331,28,pd,604.7234550000001
50785,2,pd,198.704756
24047,5,pd,313.951335
15458,4,pd,327.459517
9131,1,pd,0
56518,3,pd,234.01068600000002
8891,4,pd,289.69755399999997
47322,2,pd,198.704756
57272,7,pd,485.657169
58689,1,pd,0
22568,15,pd,1018.584283
11494,3,pd,288.661938
54136,4,pd,283.001106
50780,2,pd,198.704756
59981,1,pd,0
49494,3,pd,352.997894
21243,27,pd,1207.597945
56739,6,pd,777.713503
10615,10,pd,418.083554
29463,10,pd,487.168755
21867,16,pd,524.754814
44319,11,pd,433.46227999999996
27742,19,pd,654.190376
18696,11,pd,447.912601
60010,16,pd,597.9459459999999
41186,6,pd,461.187925
59544,4,pd,17.451769
30597,26,pd,1376.828319
30156,40,pd,1552.828705
42047,6,pd,388.682108
32174,8,pd,499.604627
36058,9,pd,496.89227999999997
17814,12,pd,445.493761
11074,2,pd,253.645516
31447,34,pd,1066.649198
39954,5,pd,313.578136
49391,5,pd,301.382514
11491,3,pd,288.661938
12861,3,pd,274.50438199999996
43035,9,pd,528.471424
19948,26,pd,1042.732122
52097,10,pd,449.557729
31858,13,pd,586.08239
59567,9,pd,452.262003
16758,6,pd,390.013961
12793,4,pd,327.459517
25366,5,pd,303.205516
35198,10,pd,501.92875999999995
52514,2,pd,198.704756
11192,1,pd,0
8099,2,pd,253.645516
40862,11,pd,531.215146
14197,2,pd,253.645516
27045,10,pd,557.339238
26559,14,pd,554.575384
33973,10,pd,562.886261
13271,3,pd,274.50438199999996
17206,2,pd,253.645516
26877,17,pd,1060.792687
19567,19,pd,1018.3263479999999
9035,1,pd,0
58258,1,pd,0
26237,7,pd,441.355473
27501,13,pd,630.82063
16232,18,pd,1095.17659
33803,18,pd,706.8261719999999
43015,7,pd,504.778323
31809,12,pd,576.581775
25130,48,pd,1414.537624
20157,1,pd,0
42911,7,pd,423.988038
48643,8,pd,393.006523
51672,6,pd,378.948875
45482,8,pd,302.12415500000003
18356,44,pd,1464.742738
19787,1,pd,0
14503,18,pd,1048.49164
51541,1,pd,0
17082,64,pd,1569.891173
29727,35,pd,1538.355403
16108,5,pd,332.618617
15347,50,pd,1533.750567
30120,14,pd,606.941256
55456,13,pd,882.266443
24085,4,pd,357.428425
56749,20,pd,1091.138004
60185,5,pd,808.608575
10016,1,pd,0
66085,24,pd,686.892441
27546,16,pd,483.741593
27857,9,pd,595.118383
21408,27,pd,1234.31713
14765,6,pd,374.314195
38150,10,pd,489.101875
21496,2,pd,253.645516
13528,2,pd,253.645516
