grid_id,n,pd,mpd,raoq,fd,fdr
50807,215,8620.1616650302,226.0502025116915,15.484359639330336,1206.042841569678,2.4275620631319734
14095,29,1573.2457160000001,210.93723057142859,12.73823887135299,5.819543615954396,1.2462670587578744
10006,8,348.62375099999997,120.33583664285715,6.287418936589307,NA,NA
14157,9,434.557887,160.26371733333335,8.1148221259824,3.57743106656808e-8,0.11727256096699026
15792,81,3363.214872,216.82956508209878,15.563416859437426,256.4152865856216,2.0004052657691584
9165,1,0,0,0,NA,NA
28010,186,7859.8954920812,237.05307182409638,15.029052374305556,719.0232403502847,2.275583971071786
46456,26,2029.7663580061999,236.20981820663076,14.49219619308066,7.2432932523587175,1.2808315257563767
36070,73,3567.7636600062,217.51130595602984,17.42857539539881,171.9969662452985,1.9030057404169762
47757,77,4663.392439015,228.6730236586261,17.73769449517839,381.1008838812648,2.1019868487542923
51364,167,7201.299847017,224.80417503721392,21.23096388140014,1773.971296874579,2.547524231276193
14789,5,377.44597799999997,181.77273739999998,5.101998313890997,NA,NA
54826,181,6708.685524020199,225.01140977763265,22.988833351291298,2360.305591428098,2.64010396533428
24064,35,2050.049006,211.46843281680674,18.795418025347953,44.04225727971961,1.6050320026349998
39996,21,1567.592848,221.47251975238095,15.605429950543842,3.630387150384975,1.1748816415756513
10652,4,341.304733,187.86691633333334,5.126446122378448,NA,NA
21901,37,1927.2652150000001,199.0311486846847,17.762188122434726,57.14760326697248,1.6581535789626718
22707,99,4544.518225,222.996878547516,16.373655661802506,611.1903835368854,2.2298315912430264
8118,2,231.57112999999998,231.57112999999998,5.760692879239942,NA,NA
27490,14,1154.420967,220.917127978022,19.0214076530529,0.8060424630975345,0.9734076167075016
42037,995,21320.987661084,232.33890140955177,13.271625281456734,3206.6546904394186,2.743194013953869
41191,1166,24018.1077026008,233.07610530060208,13.967750232935513,4508.818659093697,2.862581406730687
26271,184,7581.4860496062,229.8442598419657,13.845672429768609,609.100285823872,2.228876988191324
34407,13,1123.875791,224.46056525641023,22.12902551419509,0.45478030500965944,0.9062023959077554
27863,7,739.2648680000001,233.54450304761906,14.772501827674901,NA,NA
12583,14,683.132518,184.39913869230767,7.299485972460036,0.012770096695774799,0.5797947429116307
38359,259,10197.1930850346,233.37326160411024,16.164756205842714,2361.3286427932653,2.640246979120861
14348,9,385.88143299999996,150.07181377777778,5.321092598546758,1.9543284337622278e-6,0.19336358698242087
44748,315,10956.52671005,226.2161044109534,16.22567655867547,2153.432591580018,2.6100054260424237
54588,560,16387.156852583,232.63211521589187,15.626852867146736,4165.885137088263,2.8344148286904574
12350,28,1656.956922,213.6351813783069,12.312557397668767,4.4507022295433645,1.2051845828680694
27472,23,1837.078113003,225.97029010302765,22.227447649130614,32.61258311782207,1.5458706434343783
31420,160,7715.2847330426,231.21704762026522,17.989562451946487,1300.345251490077,2.4505148265866836
42259,1349,27171.188516821,234.34151171157006,16.24534687133732,8190.821753556352,3.0843661937000295
28370,11,933.568215,224.2243609818182,20.558972063692977,0.10225473865976342,0.7519871690141565
14580,18,763.396432,155.49704579738562,9.110728275883009,0.08065994897735154,0.7300157715115813
46816,528,15775.5872575674,231.7794078182862,14.691560809140903,2607.2433048609223,2.673146096757553
27483,10,946.61264,228.44364133333335,17.432487736243374,0.008868224059894908,0.5539614994766934
22995,67,3532.347011,221.6325537847128,15.99856546561441,199.69182457404287,1.9388536815428583
20643,2,247.468474,247.468474,4.4773914172064595,NA,NA
23105,158,6229.9736167,228.47966889828268,19.06938558390248,2219.080900534239,2.619821138112316
64067,37,2525.151961,230.79519936636635,16.546796281273284,43.32489299750668,1.6017406124789775
41268,3,25.771434,17.180956,0.09094664633003265,NA,NA
17429,14,780.969417,192.85411895604395,10.18393646990495,0.0768897315932849,0.7256605992654162
18026,10,854.412768,215.59719017777778,13.066454405606848,0.007912752085790169,0.5461236006144073
47041,157,7296.1488140344,229.57883980551742,17.389514207822423,983.0500796696178,2.366311723331703
14389,5,237.00024499999998,95.82978259999999,4.397724148406506,NA,NA
28427,536,14586.2733204724,236.4488693392487,14.147404989680329,1775.3413269780237,2.5477700784186985
16657,82,3493.937902,217.1125662878651,15.789814160093579,251.5729785400496,1.9956436703251323
27902,18,1521.6146430000001,228.2227510392157,16.312508811789975,2.8987637647521205,1.1422906000558652
10623,16,1142.705656,203.79735375833334,11.196216361153494,0.13566109335887677,0.779034900073954
45501,1163,22998.8331681012,232.54662230783288,12.909298426241639,3491.845803575575,2.772565929792051
59112,96,3322.387715,187.7739942460526,20.944731070821863,261.57649461162646,2.0053945920156657
30937,12,921.077297,200.81756572727272,19.39180955150781,0.3494768983955715,0.8768540436502881
22810,11,788.785948,212.1743842181818,14.19129727880412,0.032341019572241926,0.65120722963665445
27012,8,804.459332,231.53980192857145,19.42052761548534,NA,NA
15485,12,586.086901,180.29460722727273,9.228251062277963,0.01019996745481867,0.563734804036112
41722,100,4550.4293090094,214.05690603836982,14.756315403127962,192.8557753489512,1.9304301021537598
17421,17,877.563961,188.35014936764705,10.393670025912796,0.22711914760260443,0.8308673988857596
9027,2,0.31462599999999996,0.31462599999999996,2.4710683657758934,NA,NA
20135,74,3733.2026730000002,219.4410544154017,14.733513600565733,196.69887673172127,1.9351972356421998
10771,5,269.892089,115.5395712,6.403498982896999,NA,NA
9762,9,681.027886,202.58033211111112,7.474031248709534,2.0018246001459857e-4,0.34488813413857555
13518,3,231.69611399999997,154.46407599999998,4.816186739233588,NA,NA
49050,38,2833.772350015,227.06297664232574,20.817859130354194,107.39148395865652,1.794201562084268
28417,319,9944.673030603,232.15705996240914,14.676171895373061,769.4333527973698,2.294940213268554
9798,4,350.06156999999996,193.87756666666667,5.817257999792878,NA,NA
10963,1,0,0,0,NA,NA
25786,24,1723.614394,223.36463270289858,15.937152495463435,8.957200113084486,1.3152900496012283
9329,11,814.220511,203.23140370909093,8.667412679071315,0.0056018421486079386,0.5230477742512798
16078,18,1089.699465,192.21760467973857,10.63938754431052,0.10951861319741424,0.7584657811311764
15225,5,377.44597799999997,181.77273739999998,5.101998268067802,NA,NA
24297,164,6722.385877603,226.6841686059172,16.56402988454894,855.4282379995589,2.325535362184621
57169,140,7046.9208350094,229.37654211339225,17.87971881371081,882.9611717385366,2.3347624543075227
37266,840,22768.000503217,235.06617517886858,16.926855129588525,7314.043386400719,3.04102290683543
17793,42,1536.043144,186.37748070963997,11.808185808220017,5.939918202848687,1.2494605777056018
15185,20,981.790418,193.36551542105263,9.35035749562598,0.17871499530376556,0.8063435646865482
16339,17,748.037774,169.06232480882352,9.09356651946859,0.018939122690802956,0.6090738896895712
12777,62,2217.280391,207.23684458434693,14.244714211875783,62.556628326139084,1.6770042631518858
37515,367,13299.9091076036,230.84426748799032,15.794757327825987,2380.389823234053,2.642901701902082
48627,54,3428.9870940152,226.14901335625828,17.62811634599374,129.94024617160252,1.8374602835819414
7646,1,0,0,0,NA,NA
23190,13,1110.28118,218.3185783846154,13.721834373670596,0.1604332193244759,0.795539571904873
28847,421,11242.029556206,232.9699654375763,14.745610968056079,860.2765060534385,2.3271788314916204
7739,1,0,0,0,NA,NA
22588,269,8287.135721403,226.68547838820407,16.50935025385348,1819.2632363702464,2.5555650667716976
22346,21,1034.218808,203.62867527619048,19.544898117636613,6.146194500193376,1.2548036908683977
22684,96,5143.8595310062,229.73967898653268,20.37177873378049,793.4260603887934,2.3037656983804817
52524,170,6913.3166405334,222.53565060561397,16.741966734293907,855.391804062031,2.3255229809606335
61911,34,2760.9678949999998,232.73563693939394,16.626679920435496,34.45615400172023,1.5565330623691893
40440,99,4813.8237680094,219.65707333104953,18.877603656301023,498.4347600278585,2.173707181563954
53071,38,1858.05843,198.46990843527738,21.284255117224575,82.65461186420025,1.7364344216698615
12786,21,1477.18198,213.1343391809524,12.25092383174186,1.3964981401318646,1.0426295878153207
28717,7,808.45114,240.1336718095238,12.447535241995226,NA,NA
30494,6,564.315117,207.63243786666666,15.647688391173439,NA,NA
46792,669,16778.9624270442,234.27285757153194,13.307878421654195,2236.100708050685,2.622324423711175
61920,41,3023.041736,230.10957693414633,19.42513867195604,125.33099689316808,1.8291836539586392
26019,107,5328.745310006,228.84843594086334,17.612005656631737,600.5058371300138,2.2249213023009684
28319,3,367.342707,244.89513800000003,16.28450595926607,NA,NA
53721,466,15060.6390665646,232.4607029689237,15.579604283684079,2928.581292796688,2.712265254609622
58471,216,9506.5135360272,231.74603338543704,15.348056090046294,1200.7658359286263,2.4262317985875725
12433,8,360.560046,143.53751628571428,8.277377425474684,NA,NA
34470,575,17325.6478255952,235.3843655711719,15.687857493368295,4325.792557289194,2.847791642395589
7427,1,0,0,0,NA,NA
15684,6,348.14825199999996,140.45855713333333,5.212504598039473,NA,NA
21951,8,662.5703,205.68816332142856,8.689723084377173,NA,NA
5522,2,0.31462599999999996,0.31462599999999996,2.4710683836220615,NA,NA
26654,44,2861.4025460000003,224.52239544291757,17.36082489593851,94.17819666359408,1.7649962877204597
13060,4,241.83131999999998,120.94772066666665,4.290882039528799,NA,NA
9474,5,277.109537,118.4200846,5.193850249663705,NA,NA
34778,20,1348.168195,209.74076157894737,17.581975510212395,3.555816056009312,1.1718375514459085
8889,13,926.188199,202.51667974358975,9.41495791953912,0.033604008788158335,0.6543330942589456
21716,177,5888.6375658,223.07966715993837,15.774993038830118,704.2116095757818,2.2696709421877364
11557,10,514.106099,170.39086297777777,7.435288796438987,5.87622973936699e-4,0.3945820691243398
33912,10,914.737084,221.5108150222222,15.281198066547406,0.016759541385563907,0.5998363304918125
22987,76,3728.8428710030003,219.90511090990353,18.193751552045462,295.38224226558475,2.036095048955463
21702,77,3559.9427916,220.31133022118934,15.123424337477614,162.07328907400955,1.8889215907641543
21461,7,731.534296,227.84901704761904,18.492464856300295,NA,NA
27142,194,7761.0918814154,234.11165941687796,14.084828854279209,718.7379718536719,2.2754710983079187
17163,13,1030.827295,208.7972583846154,12.106410685907369,0.08699519563015475,0.7369481087216453
27914,11,1134.414483,231.76092974545455,18.89319988434949,0.19148763563046817,0.8133314989189767
13225,29,1539.80405,205.880201226601,12.131339472763974,4.672194158691366,1.2125233487258256
39455,751,19244.8918625738,232.46550082111088,15.0837053179228,4363.776903210125,2.8509054710009254
32606,6,619.390635,229.0042492,13.723051264833728,NA,NA
30942,15,1240.720556,218.47345457142856,18.350996496065623,0.9289607144623175,0.990831188631751
31811,11,837.399308,206.3010950181818,18.085250310881456,0.05402758130893512,0.6943476031826112
19782,3,321.25781199999994,214.17187466666664,5.206201210520701,NA,NA
21698,49,2513.950158,215.80636646428573,17.834593774041892,111.48549231588437,1.8026121521684524
42462,1052,22543.0599075886,233.35507100913873,15.319327737948608,6104.301108054605,2.9730656108385576
40877,31,1846.407801503,215.43688392062367,18.496955416557185,19.52380391240358,1.4498415930904582
