n,metric,mean,sd,median,mad,min,max
22,raoq,15.493163758643476,2.0484834071712803,15.580968230592765,1.6294963544174443,11.304205991143682,22.1815718526961
23,fd,6.3146443012191105,3.3286120889597433,5.63101943467211,3.173667928099087,1.209477885330856,18.106332732656597
23,fdr,1.241006252699217,0.08086531439483198,1.2411374775965447,0.091252378235887735,1.0240584405566202,1.4362459336885929
23,mpd,237.08465804165988,4.870800661344923,237.88884986575178,4.511160915391964,224.2554222055336,247.3277344189723
23,pd,2087.471928641816,133.4141578550096,2097.9299795051,130.3922466827386,1755.367795003,2385.491346003
23,raoq,15.07189836829357,2.0212543818134368,14.961900307457906,2.085992508757136,10.401604947653889,19.563005902141732
24,fd,8.650609858473745,4.749282641303038,8.0159449872723485,3.715253829360556,1.2103797051567922,23.521062214048985
24,fdr,1.2893755551484702,0.08837016370207199,1.2971613122931827,0.08428629565283598,1.0241538551869824,1.483993901924685
24,mpd,236.55291184331517,4.600005750944797,236.60235591666668,5.320899718202164,225.85541660869563,245.3563236304348
24,pd,2148.851348391956,161.10008124406403,2154.9649645,177.9874057706282,1777.9731570032,2538.880737998
24,raoq,15.645331734495146,1.9103068615958283,15.647271138090577,2.126277401446441,11.466710558640374,20.603517766470652
25,fd,10.576404667884987,5.383145628298312,9.584001950754125,5.412101589717754,2.343643344144354,25.950225069968276
25,fdr,1.32390863346515,0.08651018216893122,1.3264530303831708,0.10673477297607169,1.1123371450828556,1.5023379609905176
25,mpd,236.99144722765425,4.4468293134756385,237.11575783,4.733143714126905,225.50260370024,249.24400656666663
25,pd,2244.880745516928,138.80010448016904,2239.7287460015,151.60310139659973,1923.574133,2585.851213009
25,raoq,15.660085950474343,1.9632748376475722,15.636601729909188,2.364111733716587,12.083247728778094,20.010633334767387
26,fd,11.891648319087524,5.803492757989719,10.267275562038815,5.72141115070117,2.4053981385859204,32.024461429893186
26,fdr,1.345257627173737,0.08347555791443118,1.3379076015928106,0.100944284866557,1.115959339890764,1.5423581381876632
26,mpd,236.27579329811232,4.399775577533401,236.81239813396155,4.197098534690592,224.41692313538465,247.43037053892309
26,pd,2300.21877057726,151.54418407658068,2308.2474580076,162.53307358720602,1818.489091,2600.953709006
26,raoq,15.650988934773505,1.8682801502442603,15.727385226553736,1.9756216762632797,11.301657776779477,21.006974227599528
27,fd,12.138127236535263,5.754295984079161,11.391573191237583,4.967997963361635,3.7967855914059023,45.48552616180575
27,fdr,1.3514197145262885,0.07632516720582651,1.3553935761576525,0.08142118384725451,1.1814817268559203,1.6115142599908234
27,mpd,236.56743537376593,4.130208711969583,236.53588352136754,3.7218235622495732,226.7045236866097,248.00365703703704
27,pd,2366.312916621994,159.19128061243237,2397.6404420015,134.76176170231747,1900.794189009,2761.256927
27,raoq,15.279394589182099,1.5160225954933966,15.411869641213192,1.513425020025235,11.653746573035257,19.065389889774956
28,fd,15.153048808314837,8.966706560484326,13.950390355597872,7.557034320428947,2.9881817088130385,65.12558233267737
