"","x","y","Grid"
"1041",-32.9166666666667,81.2499999996707,1041
"1042",-32.0833333333333,81.2499999996707,1042
"1043",-31.25,81.2499999996707,1043
"1044",-30.4166666666667,81.2499999996707,1044
"1045",-29.5833333333333,81.2499999996707,1045
"1416",-80.4166666666667,80.4166666663389,1416
"1417",-79.5833333333333,80.4166666663389,1417
"1418",-78.75,80.4166666663389,1418
"1419",-77.9166666666667,80.4166666663389,1419
"1420",-77.0833333333333,80.4166666663389,1420
"1421",-76.25,80.4166666663389,1421
"1422",-75.4166666666667,80.4166666663389,1422
"1423",-74.5833333333333,80.4166666663389,1423
"1424",-73.75,80.4166666663389,1424
"1425",-72.9166666666667,80.4166666663389,1425
"1426",-72.0833333333333,80.4166666663389,1426
"1427",-71.25,80.4166666663389,1427
"1428",-70.4166666666667,80.4166666663389,1428
"1429",-69.5833333333333,80.4166666663389,1429
"1433",-66.25,80.4166666663389,1433
"1434",-65.4166666666667,80.4166666663389,1434
"1435",-64.5833333333333,80.4166666663389,1435
"1436",-63.75,80.4166666663389,1436
"1437",-62.9166666666667,80.4166666663389,1437
"1438",-62.0833333333333,80.4166666663389,1438
"1439",-61.25,80.4166666663389,1439
"1440",-60.4166666666667,80.4166666663389,1440
"1441",-59.5833333333333,80.4166666663389,1441
"1442",-58.75,80.4166666663389,1442
"1443",-57.9166666666667,80.4166666663389,1443
"1444",-57.0833333333333,80.4166666663389,1444
"1445",-56.25,80.4166666663389,1445
"1446",-55.4166666666667,80.4166666663389,1446
"1447",-54.5833333333333,80.4166666663389,1447
"1448",-53.75,80.4166666663389,1448
"1449",-52.9166666666667,80.4166666663389,1449
"1450",-52.0833333333333,80.4166666663389,1450
"1451",-51.25,80.4166666663389,1451
"1452",-50.4166666666667,80.4166666663389,1452
"1453",-49.5833333333333,80.4166666663389,1453
"1454",-48.75,80.4166666663389,1454
"1455",-47.9166666666667,80.4166666663389,1455
"1456",-47.0833333333333,80.4166666663389,1456
"1457",-46.25,80.4166666663389,1457
"1458",-45.4166666666667,80.4166666663389,1458
"1459",-44.5833333333333,80.4166666663389,1459
"1460",-43.75,80.4166666663389,1460
"1461",-42.9166666666667,80.4166666663389,1461
"1462",-42.0833333333333,80.4166666663389,1462
"1463",-41.25,80.4166666663389,1463
"1464",-40.4166666666667,80.4166666663389,1464
"1465",-39.5833333333333,80.4166666663389,1465
"1466",-38.75,80.4166666663389,1466
"1467",-37.9166666666667,80.4166666663389,1467
"1468",-37.0833333333333,80.4166666663389,1468
"1469",-36.25,80.4166666663389,1469
"1470",-35.4166666666667,80.4166666663389,1470
"1471",-34.5833333333333,80.4166666663389,1471
"1472",-33.75,80.4166666663389,1472
"1473",-32.9166666666667,80.4166666663389,1473
"1474",-32.0833333333333,80.4166666663389,1474
"1475",-31.25,80.4166666663389,1475
"1476",-30.4166666666667,80.4166666663389,1476
"1477",-29.5833333333333,80.4166666663389,1477
"1478",-28.75,80.4166666663389,1478
"1479",-27.9166666666667,80.4166666663389,1479
"1839",-87.9166666666667,79.5833333330072,1839
"1843",-84.5833333333333,79.5833333330072,1843
"1844",-83.75,79.5833333330072,1844
"1845",-82.9166666666667,79.5833333330072,1845
