raw_name,trait_name,match_type
Benstonea tunicata,Pandanus tunicatus,direct kew
Benstonea undulifolia,Pandanus undulifolius,direct kew
Benstonea vriensii,Pandanus vriensii,direct kew
Biancaea sappan,Caesalpinia sappan,direct kew
Bikinia letestui,Bikinia le-testui,direct kew
Blakea aeruginosa,Topobea aeruginosa,direct kew
Blakea albertiae,Topobea albertiae,direct kew
Blakea amplifolia,Topobea amplifolia,direct kew
Blakea brachyura,Topobea brachyura,direct kew
Blakea calycularis,Topobea calycularis,direct kew
Blakea cuprina,Topobea glabrescens,direct kew
Blakea discolor,Topobea discolor,direct kew
Blakea fragrantissima,Topobea fragrantissima,direct kew
Blakea glaberrima,Topobea glaberrima,direct kew
Blakea henripittieri,Topobea pittieri,direct kew
Blakea induta,Topobea induta,direct kew
Blakea killipii,Topobea killipii,direct kew
Blakea macbrydei,Topobea macbrydei,direct kew
Blakea maguirei,Topobea maguirei,direct kew
Blakea maurofernandeziana,Topobea maurofernandeziana,direct kew
Blakea multiflora,Topobea multiflora,direct kew
Blakea parvifolia,Topobea parvifolia,direct kew
Blakea pascoensis,Topobea pascoensis,direct kew
Blakea pluvialis,Topobea pluvialis,direct kew
Blakea steyermarkii,Topobea steyermarkii,direct kew
Blakea subbarbata,Topobea subbarbata,direct kew
Blakea subscabrula,Topobea subscaberula,direct kew
Blakea superba,Topobea superba,direct kew
Blakea verrucosa,Topobea verrucosa,direct kew
Blakea watsonii,Topobea watsonii,direct kew
Bocoa marioniae,Crudia aromatica,direct kew
Boehmeria depauperata,Boehmeria glomerulifera,direct kew
Boschia grandiflora,Durio grandiflorus,direct kew
Boschia griffithii,Durio acutifolius,direct kew
Bourreria andrieuxii,Bourreria litoralis,direct kew
Bourreria angustifolia,Hilsenbergia angustifolia,direct kew
Bourreria apetala,Hilsenbergia apetala,direct kew
Bourreria bosseri,Hilsenbergia bosseri,direct kew
Bourreria capuronii,Hilsenbergia capuronii,direct kew
Bourreria cassinifolia,Bourreria havanensis,direct kew
Bourreria croatii,Hilsenbergia croatii,direct kew
Bourreria darcyana,Hilsenbergia darcyana,direct kew
Bourreria domingensis,Bourreria baccata,direct kew
Bourreria domingensis,Bourreria velutina,direct kew
Bourreria domingensis,Bourreria venosa,direct kew
Bourreria exsucca,Bourreria cumanensis,direct kew
Bourreria labatii,Hilsenbergia labatii,direct kew
Bourreria leslieae,Hilsenbergia leslieae,direct kew
Bourreria lowryana,Hilsenbergia lowryana,direct kew
Bourreria moratiana,Hilsenbergia moratiana,direct kew
